Invoice ID,Branch,Customer type,Gender,ProductID,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
250-17-5703,A,Member,Male,PID123,10,9.425,197.925,27/02/2019,18:24,Ewallet,188.5,4.761904762,9.425,5.6
410-67-1709,A,Member,Female,PID124,8,25.552,536.592,20/01/2019,17:48,Ewallet,511.04,4.761904762,25.552,9.9
587-73-4862,A,Member,Female,PID125,5,2.6725,56.1225,26/03/2019,11:07,Ewallet,53.45,4.761904762,2.6725,7.6
787-87-2010,A,Member,M,PID126,4,11.1,233.1,20/01/2019,15:48,Credit card,222,4.761904762,11.1,6.6
307-04-2070,A,Member,Female,PID127,1,1.531,32.151,05/02/2019,14:14,Credit card,30.62,4.761904762,1.531,4.1
263-12-5321,A,Member,Male,PID128,7,32.41,680.61,27/02/2019,12:52,Credit card,648.2,4.761904762,32.41,9.3
864-24-7918,A,Member,F,PID129,10,12.245,257.145,22/02/2019,15:15,Cash,244.9,4.761904762,12.245,8.1
877-22-3308,A,Member,Male,PID13,10,7.935,166.635,13/03/2019,16:40,Cash,158.7,4.761904762,7.935,5.8
529-56-3975,B,Member,M,PID13,4,5.102,107.142,09/03/2020,17:03,Cash,102.04,4.761904762,5.102,6.8
759-29-9521,A,Member,F,PID130,9,22.032,462.672,04/03/2019,11:27,Cash,440.64,4.761904762,22.032,8
778-34-2523,A,Member,F,PID131,8,19.448,408.408,24/01/2019,10:57,Cash,388.96,4.761904762,19.448,5
186-43-8965,A,Member,F,PID132,2,4.768,100.128,24/02/2019,10:10,Credit card,95.36,4.761904762,4.768,4.1
569-76-2760,A,Member,F,PID133,4,4.402,92.442,29/01/2019,18:15,Credit card,88.04,4.761904762,4.402,6.6
760-53-9233,A,Member,M,PID134,3,6.192,130.032,26/03/2019,18:37,Credit card,123.84,4.761904762,6.192,8.5
416-17-9926,A,Member,Female,PID135,10,37.11,779.31,01/01/2019,14:42,Credit card,742.2,4.761904762,37.11,4.3
528-14-9470,A,Member,Male,PID136,1,4.565,95.865,14/02/2019,14:42,Ewallet,91.3,4.761904762,4.565,9.2
288-62-1085,A,Member,Male,PID137,5,9.635,202.335,09/01/2019,13:34,Ewallet,192.7,4.761904762,9.635,5.6
860-73-6466,A,Member,Female,PID138,2,3.947,82.887,02/03/2019,16:16,Credit card,78.94,4.761904762,3.947,5
804-38-3935,A,Member,M,PID139,3,14.067,295.407,30/01/2019,11:32,Credit card,281.34,4.761904762,14.067,5.9
365-64-0521,B,Normal,M,PID139,2,3.32,69.72,15/03/2020,12:20,Credit card,66.4,4.761904762,3.32,4.4
382-03-4532,A,Member,Female,PID14,1,0.9165,19.2465,02/02/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3
585-90-0249,A,Member,M,PID140,1,3.663,76.923,27/01/2019,18:08,Ewallet,73.26,4.761904762,3.663,9.7
160-22-2687,A,Member,Female,PID141,5,23.9875,503.7375,23/01/2019,14:21,Ewallet,479.75,4.761904762,23.9875,8.8
748-45-2862,A,Member,Female,PID142,4,5.662,118.902,07/03/2019,18:35,Cash,113.24,4.761904762,5.662,8.2
316-66-3011,A,Member,Female,PID143,9,21.4335,450.1035,23/01/2019,12:35,Cash,428.67,4.761904762,21.4335,5
840-76-5966,A,Member,Male,PID144,2,1.276,26.796,08/01/2019,18:06,Ewallet,25.52,4.761904762,1.276,7.8
124-31-1458,A,Member,Female,PID145,3,11.9385,250.7085,08/01/2019,14:30,Cash,238.77,4.761904762,11.9385,6.6
873-14-6353,A,Member,M,PID146,7,8.687,182.427,16/02/2019,10:33,Credit card,173.74,4.761904762,8.687,7.1
166-19-2553,A,Member,M,PID147,6,26.718,561.078,18/01/2019,17:26,Cash,534.36,4.761904762,26.718,9.9
737-88-5876,A,Member,M,PID148,4,4.658,97.818,19/03/2019,11:52,Credit card,93.16,4.761904762,4.658,5.9
291-55-6563,A,Member,Female,PID149,6,10.326,216.846,30/03/2019,12:45,Ewallet,206.52,4.761904762,10.326,7.5
381-20-0914,A,Member,Female,PID15,9,9.0045,189.0945,12/01/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7
548-48-3156,A,Member,Female,PID150,2,8.334,175.014,19/03/2019,13:37,Cash,166.68,4.761904762,8.334,7.6
325-89-4209,A,Member,Male,PID151,1,4.395,92.295,05/02/2019,19:42,Ewallet,87.9,4.761904762,4.395,6.7
884-80-6021,A,Member,Female,PID152,10,36.735,771.435,23/03/2019,13:14,Ewallet,734.7,4.761904762,36.735,9.5
880-46-5796,A,Member,Male,PID153,10,38.46,807.66,17/03/2019,19:53,Ewallet,769.2,4.761904762,38.46,5.6
146-09-5432,A,Member,Male,PID154,9,15.768,331.128,09/02/2019,19:17,Ewallet,315.36,4.761904762,15.768,4.6
595-94-9924,A,Member,Female,PID155,5,6.9325,145.5825,26/03/2019,20:21,Credit card,138.65,4.761904762,6.9325,4.2
186-71-5196,A,Member,Female,PID156,2,7.954,167.034,27/03/2019,16:30,Ewallet,159.08,4.761904762,7.954,6.2
522-57-8364,A,Member,Male,PID157,8,20.536,431.256,31/01/2019,10:00,Ewallet,410.72,4.761904762,20.536,7.6
459-45-2396,A,Member,Female,PID158,3,14.94,313.74,25/02/2019,18:45,Cash,298.8,4.761904762,14.94,5.8
397-25-8725,A,Member,Female,PID159,9,17.829,374.409,13/01/2019,17:54,Credit card,356.58,4.761904762,17.829,6.8
633-44-8566,A,Member,Male,PID16,7,17.283,362.943,27/03/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3
131-70-8179,A,Member,Female,PID160,3,13.8135,290.0835,17/02/2019,16:27,Cash,276.27,4.761904762,13.8135,4.2
333-23-2632,A,Member,Male,PID161,7,3.528,74.088,28/03/2019,20:14,Cash,70.56,4.761904762,3.528,4.2
384-59-6655,A,Member,Female,PID162,9,44.397,932.337,19/02/2019,15:07,Cash,887.94,4.761904762,44.397,8.4
324-92-3863,A,Member,Male,PID163,2,2.089,43.869,05/02/2019,18:45,Cash,41.78,4.761904762,2.089,9.8
195-06-0432,A,Member,Male,PID164,3,12.1515,255.1815,13/01/2019,12:55,Credit card,243.03,4.761904762,12.1515,9.3
139-32-4183,A,Member,Female,PID165,9,43.866,921.186,14/03/2019,14:19,Ewallet,877.32,4.761904762,43.866,7.4
727-02-1313,A,Member,Male,PID166,1,1.592,33.432,09/02/2019,13:22,Cash,31.84,4.761904762,1.592,7.7
849-09-3807,A,Member,Female,PID167,7,30.919,649.299,18/02/2019,13:28,Cash,618.38,4.761904762,30.919,6.6
631-41-3108,A,Normal,Male,PID168,7,16.2155,340.5255,03/03/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
373-73-7910,A,Normal,Male,PID169,7,30.2085,634.3785,08/02/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
873-51-0671,A,Member,Female,PID17,7,7.693,161.553,10/01/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1
365-64-0515,A,Normal,Female,PID170,5,11.7375,246.4875,12/02/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,A,Normal,Male,PID171,10,21.595,453.495,07/02/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,A,Normal,Female,PID172,10,35.69,749.49,29/03/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
765-26-6951,A,Normal,Male,PID173,6,21.783,457.443,01/01/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,A,Normal,Male,PID174,3,8.2005,172.2105,21/01/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
636-48-8204,A,Normal,Male,PID175,5,8.64,181.44,17/02/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9
189-17-4241,A,Normal,Female,PID176,2,8.767,184.107,10/03/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7
848-62-7243,A,Normal,Male,PID177,9,11.2005,235.2105,15/03/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4
595-11-5460,A,Normal,Male,PID178,2,9.658,202.818,15/03/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
272-65-1806,A,Normal,Female,PID179,9,27.396,575.316,15/01/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7
704-48-3927,A,Member,Male,PID18,10,44.335,931.035,12/01/2019,14:50,Ewallet,886.7,4.761904762,44.335,7.3
635-40-6220,A,Normal,Male,PID180,8,35.84,752.64,07/02/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6
232-11-3025,A,Normal,Male,PID181,10,39.385,827.085,24/01/2019,10:04,Cash,787.7,4.761904762,39.385,6.4
287-21-9091,A,Normal,Male,PID182,9,33.6015,705.6315,22/01/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4
504-35-8843,A,Normal,Male,PID183,1,2.1235,44.5935,02/01/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7
594-34-4444,A,Normal,Male,PID184,1,4.858,102.018,08/03/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2
865-92-6136,A,Normal,Male,PID185,3,7.9125,166.1625,23/03/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3
212-62-1842,A,Normal,Male,PID186,6,17.478,367.038,28/03/2019,16:44,Cash,349.56,4.761904762,17.478,9.9
630-74-5166,A,Normal,Male,PID187,6,18.639,391.419,22/03/2019,20:19,Cash,372.78,4.761904762,18.639,7.4
642-32-2990,A,Normal,Female,PID188,10,5.48,115.08,02/02/2019,20:48,Ewallet,109.6,4.761904762,5.48,6
638-60-7125,A,Normal,Female,PID189,8,39.824,836.304,14/02/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2
645-44-1170,A,Member,Male,PID19,9,26.1315,548.7615,19/01/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3
668-90-8900,A,Normal,Female,PID190,7,32.7915,688.6215,10/03/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,A,Normal,Female,PID191,5,8.0625,169.3125,27/01/2019,13:26,Cash,161.25,4.761904762,8.0625,9
700-81-1757,A,Normal,Female,PID192,5,6.5775,138.1275,18/01/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8
575-30-8091,A,Normal,Male,PID193,8,29,609,16/03/2019,19:25,Ewallet,580,4.761904762,29,9.2
239-10-7476,A,Normal,Female,PID194,6,23.385,491.085,21/01/2019,16:37,Ewallet,467.7,4.761904762,23.385,8
238-49-0436,A,Normal,Male,PID195,8,12.984,272.664,27/03/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9
746-94-0204,A,Normal,Male,PID196,9,37.458,786.618,29/01/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4
275-28-0149,A,Normal,Male,PID197,1,3.1845,66.8745,25/02/2019,16:21,Cash,63.69,4.761904762,3.1845,6
101-17-6199,A,Normal,Male,PID198,7,16.0265,336.5565,13/03/2019,19:44,Credit card,320.53,4.761904762,16.0265,7
687-47-8271,A,Normal,Male,PID199,10,49.49,1039.29,08/02/2019,16:20,Credit card,989.8,4.761904762,49.49,8.7
802-70-5316,A,Member,Female,PID20,6,27.639,580.419,06/03/2019,20:34,Cash,552.78,4.761904762,27.639,8.3
796-32-9050,A,Normal,Male,PID200,6,15.384,323.064,19/01/2019,16:31,Cash,307.68,4.761904762,15.384,6.5
249-42-3782,A,Normal,Male,PID201,5,17.5025,367.5525,03/01/2019,11:36,Ewallet,350.05,4.761904762,17.5025,5.5
407-63-8975,A,Normal,Male,PID202,6,22.164,465.444,23/03/2019,19:16,Ewallet,443.28,4.761904762,22.164,4.4
586-25-0848,A,Normal,Female,PID203,7,4.319,90.699,04/03/2019,11:19,Credit card,86.38,4.761904762,4.319,6.7
400-60-7251,A,Normal,Male,PID204,1,3.7035,77.7735,10/02/2019,12:50,Ewallet,74.07,4.761904762,3.7035,9.9
831-07-6050,A,Normal,Male,PID205,5,8.1775,171.7275,19/03/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9
856-22-8149,A,Normal,Female,PID206,1,1.2645,26.5545,23/03/2019,10:13,Ewallet,25.29,4.761904762,1.2645,6.1
749-24-1565,A,Normal,Female,PID207,9,10.3635,217.6335,03/01/2019,12:02,Ewallet,207.27,4.761904762,10.3635,7.9
888-02-0338,A,Normal,Male,PID208,9,11.8035,247.8735,25/01/2019,20:24,Ewallet,236.07,4.761904762,11.8035,5.9
529-56-3982,A,Member,F,PID208,8,21.036,441.756,22/03/2020,19:20,Credit card,420.72,4.761904762,21.036,8.5
802-43-8934,A,Normal,Male,PID209,1,0.914,19.194,22/03/2019,15:05,Credit card,18.28,4.761904762,0.914,8.3
354-39-5160,A,Member,Female,PID21,6,10.326,216.846,18/02/2019,15:39,Cash,206.52,4.761904762,10.326,9.8
213-72-6612,A,Normal,Male,PID210,2,4.325,90.825,20/03/2019,15:56,Cash,86.5,4.761904762,4.325,6.2
721-86-6247,A,Normal,Female,PID211,8,25.368,532.728,11/03/2019,12:55,Ewallet,507.36,4.761904762,25.368,7.4
645-78-8093,A,Normal,Female,PID212,2,9.314,195.594,20/01/2019,18:09,Ewallet,186.28,4.761904762,9.314,4.1
478-06-7835,A,Normal,M,PID213,1,4.4845,94.1745,11/01/2019,11:20,Ewallet,89.69,4.761904762,4.4845,4.9
540-11-4336,A,Normal,M,PID214,9,11.223,235.683,11/01/2019,16:49,Credit card,224.46,4.761904762,11.223,5.6
448-81-5016,A,Normal,M,PID215,2,5.977,125.517,11/03/2019,12:01,Credit card,119.54,4.761904762,5.977,5.8
290-68-2984,A,Normal,M,PID216,4,4.75,99.75,16/03/2019,11:22,Cash,95,4.761904762,4.75,5.2
850-41-9669,A,Normal,Female,PID217,9,33.777,709.317,19/03/2019,13:25,Ewallet,675.54,4.761904762,33.777,6.2
633-91-1052,A,Normal,Female,PID218,2,1.203,25.263,27/01/2019,15:51,Cash,24.06,4.761904762,1.203,5.1
136-08-6195,A,Normal,Female,PID219,8,27.984,587.664,15/02/2019,17:01,Credit card,559.68,4.761904762,27.984,6.4
685-64-1609,A,Member,Female,PID22,10,15.07,316.47,10/02/2019,12:28,Ewallet,301.4,4.761904762,15.07,9.2
490-29-1201,A,Normal,Female,PID220,1,0.767,16.107,06/01/2019,11:09,Cash,15.34,4.761904762,0.767,6.5
439-54-7422,A,Normal,Female,PID221,4,10.238,214.998,18/03/2019,17:15,Credit card,204.76,4.761904762,10.238,4.7
286-01-5402,A,Normal,Female,PID222,7,14.0805,295.6905,30/03/2019,13:22,Cash,281.61,4.761904762,14.0805,9.6
848-42-2560,A,Normal,Female,PID223,2,8.191,172.011,05/03/2019,17:43,Cash,163.82,4.761904762,8.191,7.8
372-94-8041,A,Normal,Male,PID224,6,4.578,96.138,15/02/2019,18:03,Ewallet,91.56,4.761904762,4.578,9.8
563-91-7120,A,Normal,Female,PID225,5,15.4425,324.2925,08/03/2019,13:21,Cash,308.85,4.761904762,15.4425,6.7
746-54-5508,A,Normal,Male,PID226,6,6.456,135.576,17/01/2019,12:48,Credit card,129.12,4.761904762,6.456,9.4
634-97-8956,A,Normal,Male,PID227,3,4.935,103.635,17/02/2019,17:27,Credit card,98.7,4.761904762,4.935,9.1
566-71-1091,A,Normal,Male,PID228,5,19.255,404.355,03/02/2019,15:59,Cash,385.1,4.761904762,19.255,5.5
898-04-2717,A,Normal,Male,PID229,9,34.38,721.98,19/03/2019,15:49,Ewallet,687.6,4.761904762,34.38,7.5
782-95-9291,A,Member,Male,PID23,5,23.0725,484.5225,20/02/2019,15:55,Credit card,461.45,4.761904762,23.0725,9
150-89-8043,A,Normal,Male,PID230,3,6.6975,140.6475,14/02/2019,15:04,Cash,133.95,4.761904762,6.6975,6.2
135-84-8019,A,Normal,Female,PID231,9,35.0685,736.4385,27/02/2019,16:10,Ewallet,701.37,4.761904762,35.0685,7.6
531-80-1784,A,Normal,Male,PID232,7,9.107,191.247,28/03/2019,17:38,Cash,182.14,4.761904762,9.107,5.1
834-61-8124,A,Normal,Male,PID233,7,18.0915,379.9215,26/01/2019,18:22,Cash,361.83,4.761904762,18.0915,5.5
462-67-9126,A,Normal,Male,PID234,6,21.966,461.286,21/01/2019,17:44,Cash,439.32,4.761904762,21.966,7.2
422-29-8786,A,Normal,Female,PID235,5,16.7725,352.2225,03/01/2019,16:47,Credit card,335.45,4.761904762,16.7725,9.1
662-72-2873,A,Normal,Female,PID236,5,10.235,214.935,06/01/2019,13:58,Ewallet,204.7,4.761904762,10.235,9.9
725-56-0833,A,Normal,Female,PID237,10,16.16,339.36,20/02/2019,16:49,Credit card,323.2,4.761904762,16.16,10
885-17-6250,A,Normal,Female,PID238,1,3.987,83.727,06/03/2019,10:36,Ewallet,79.74,4.761904762,3.987,7.3
726-27-2396,A,Normal,Female,PID239,5,19.375,406.875,24/01/2019,20:36,Ewallet,387.5,4.761904762,19.375,4.3
105-31-1824,A,Member,Male,PID24,7,24.332,510.972,01/02/2019,15:10,Credit card,486.64,4.761904762,24.332,8.5
316-01-3952,A,Normal,Female,PID240,5,13.5675,284.9175,13/03/2019,14:16,Ewallet,271.35,4.761904762,13.5675,4.6
732-67-5346,A,Normal,Male,PID241,5,3.4475,72.3975,11/01/2019,19:07,Credit card,68.95,4.761904762,3.4475,7.8
256-08-8343,A,Normal,Female,PID242,4,11.306,237.426,04/03/2019,19:48,Ewallet,226.12,4.761904762,11.306,5.5
696-90-2548,A,Normal,Male,PID243,3,3.876,81.396,10/03/2019,18:55,Ewallet,77.52,4.761904762,3.876,6.6
472-15-9636,A,Normal,Male,PID244,8,20.372,427.812,22/03/2019,19:36,Ewallet,407.44,4.761904762,20.372,9.2
459-50-7686,A,Normal,Female,PID245,6,7.038,147.798,13/01/2019,19:14,Ewallet,140.76,4.761904762,7.038,6.4
345-08-4992,A,Normal,Male,PID246,6,10.197,214.137,08/03/2019,15:37,Credit card,203.94,4.761904762,10.197,7.7
301-11-9629,A,Normal,Female,PID247,7,6.685,140.385,15/01/2019,10:43,Cash,133.7,4.761904762,6.685,9.7
727-17-0390,A,Normal,Female,PID248,5,15.9025,333.9525,16/03/2019,12:43,Ewallet,318.05,4.761904762,15.9025,4.8
568-88-3448,A,Normal,Male,PID249,1,1.25,26.25,03/03/2019,15:09,Ewallet,25,4.761904762,1.25,5.5
827-26-2100,A,Member,Male,PID25,9,15.228,319.788,21/03/2019,16:21,Ewallet,304.56,4.761904762,15.228,8.8
502-05-1910,A,Normal,Male,PID250,3,9.777,205.317,25/02/2019,20:35,Credit card,195.54,4.761904762,9.777,6.3
485-30-8700,A,Normal,Female,PID251,5,8.315,174.615,18/03/2019,16:10,Credit card,166.3,4.761904762,8.315,4.2
575-67-1508,A,Normal,Male,PID252,1,1.93,40.53,29/01/2019,11:26,Ewallet,38.6,4.761904762,1.93,6.7
674-15-9296,A,Normal,Male,PID253,5,9.285,194.985,08/01/2019,13:05,Ewallet,185.7,4.761904762,9.285,5
795-49-7276,A,Normal,Male,PID254,4,7.43,156.03,23/03/2019,18:59,Ewallet,148.6,4.761904762,7.43,8.3
209-61-0206,A,Normal,Female,PID255,5,10.7275,225.2775,05/01/2019,17:29,Ewallet,214.55,4.761904762,10.7275,6.1
595-27-4851,A,Normal,Female,PID256,7,18.998,398.958,27/01/2019,18:05,Ewallet,379.96,4.761904762,18.998,9.3
189-52-0236,A,Normal,Male,PID257,7,34.8425,731.6925,14/03/2019,12:07,Cash,696.85,4.761904762,34.8425,7.6
220-28-1851,A,Normal,Male,PID258,2,3.473,72.933,01/03/2019,18:14,Ewallet,69.46,4.761904762,3.473,9.7
534-01-4457,A,Normal,Male,PID259,6,24.513,514.773,27/01/2019,14:36,Credit card,490.26,4.761904762,24.513,8
175-54-2529,A,Member,Male,PID26,8,8.868,186.228,03/03/2019,17:01,Credit card,177.36,4.761904762,8.868,9.6
827-77-7633,A,Normal,Male,PID260,9,44.1405,926.9505,17/02/2019,19:41,Cash,882.81,4.761904762,44.1405,9.3
287-83-1405,A,Normal,Male,PID261,6,7.629,160.209,12/02/2019,19:01,Ewallet,152.58,4.761904762,7.629,7
892-05-6689,A,Normal,Female,PID262,5,7.08,148.68,11/03/2019,13:28,Ewallet,141.6,4.761904762,7.08,6.2
643-38-7867,A,Normal,Male,PID263,1,4.897,102.837,07/03/2019,11:44,Ewallet,97.94,4.761904762,4.897,6.9
308-81-0538,A,Normal,Female,PID264,4,14.61,306.81,25/02/2019,17:16,Credit card,292.2,4.761904762,14.61,4.9
460-35-4390,A,Normal,Male,PID265,3,4.602,96.642,22/01/2019,11:00,Ewallet,92.04,4.761904762,4.602,9.1
647-50-1224,A,Normal,Female,PID266,10,14.71,308.91,12/01/2019,16:23,Ewallet,294.2,4.761904762,14.71,8.9
541-48-8554,A,Normal,Male,PID267,9,27.4275,575.9775,07/01/2019,12:08,Credit card,548.55,4.761904762,27.4275,6
213-32-1216,A,Normal,Female,PID268,6,19.818,416.178,23/01/2019,10:28,Cash,396.36,4.761904762,19.818,7.3
698-98-5964,A,Normal,Female,PID269,10,40.605,852.705,17/01/2019,13:01,Credit card,812.1,4.761904762,40.605,6.3
851-28-6367,A,Member,Male,PID27,10,7.75,162.75,23/03/2019,10:55,Ewallet,155,4.761904762,7.75,8
651-88-7328,A,Normal,Female,PID270,9,29.583,621.243,01/01/2019,13:55,Cash,591.66,4.761904762,29.583,7.7
550-84-8664,A,Normal,Male,PID271,5,21.4775,451.0275,22/03/2019,14:33,Credit card,429.55,4.761904762,21.4775,8.6
797-88-0493,A,Normal,Female,PID272,4,12.854,269.934,26/03/2019,13:54,Cash,257.08,4.761904762,12.854,7.7
127-47-6963,A,Normal,Male,PID273,4,10.342,217.182,09/03/2019,13:53,Credit card,206.84,4.761904762,10.342,9.8
278-86-2735,A,Normal,Female,PID274,3,7.851,164.871,27/03/2019,14:03,Cash,157.02,4.761904762,7.851,9.2
695-28-6250,A,Normal,Female,PID275,5,10.765,226.065,04/02/2019,16:38,Ewallet,215.3,4.761904762,10.765,7.7
227-50-3718,A,Normal,Male,PID276,5,3.655,76.755,04/03/2019,12:23,Cash,73.1,4.761904762,3.655,4.4
152-68-2907,A,Normal,Male,PID277,3,7.83,164.43,15/02/2019,13:30,Credit card,156.6,4.761904762,7.83,9.5
318-12-0304,A,Normal,Male,PID278,1,1.5305,32.1405,23/01/2019,12:20,Ewallet,30.61,4.761904762,1.5305,5.2
421-95-9805,A,Normal,Female,PID279,1,1.448,30.408,07/02/2019,10:18,Credit card,28.96,4.761904762,1.448,6.2
319-74-2561,A,Member,Female,PID28,3,14.196,298.116,21/02/2019,16:55,Cash,283.92,4.761904762,14.196,5.5
420-97-3340,A,Normal,Female,PID280,3,10.752,225.792,28/03/2019,15:30,Credit card,215.04,4.761904762,10.752,9.2
816-57-2053,A,Normal,Male,PID281,2,6.087,127.827,09/03/2019,12:37,Ewallet,121.74,4.761904762,6.087,8.7
308-39-1707,A,Normal,Female,PID282,1,0.6045,12.6945,26/01/2019,18:19,Credit card,12.09,4.761904762,0.6045,8.2
149-61-1929,A,Normal,Male,PID283,10,32.095,673.995,19/01/2019,14:08,Credit card,641.9,4.761904762,32.095,6.7
